Sr.No.,Accord Code,Company Name,RPTS_Year End,RPTS_Sales,RPTS_Rent Income,RPTS_Dividend Income,RPTS_Interest Income,RPTS_Forex Gain,RPTS_Discount Income,RPTS_Commission Income,RPTS_Claims Received,RPTS_Other Income,RPTS_Purchases,RPTS_Interest Expenses,RPTS_Director Remuneration,RPTS_Rent Expense,RPTS_Expenses,RPTS_Dividend Expense,RPTS_Discount Expense,RPTS_Commission Expense,RPTS_Claims Paid,RPTS_Expenses Recovered,RPTS_Profit on Sale of Assets,RPTS_Profit on Sale of Investments,RPTS_Provision Written Back,RPTS_Reimbursement Income,RPTS_Sale of Assets,RPTS_Sale of Investments,RPTS_Other Non Operating income,RPTS_Diminution on Investments,RPTS_Donations,RPTS_Forex Loss,RPTS_Loss on Sale of Assets,RPTS_Loss on Sale of Investments,RPTS_Provision for Doubtful Debts & Advances,RPTS_Purchase of Assets,RPTS_Purchase of Investments,RPTS_Provision Write offs,RPTS_Reimbursement Expense,RPTS_Other Non Operating Expenses
7589,287650,Cremica Food Industries Ltd.,202203,,,,,,,,,33.47,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,
7590,131207,Cresanto Global Ltd.,202403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7591,131207,Cresanto Global Ltd.,202303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7592,131207,Cresanto Global Ltd.,202203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7593,200194,Crescent Finstock Ltd.,202203,,,,,,,,,,,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
7594,236777,Crescent Medical Centre Ltd.,202403,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
7595,236777,Crescent Medical Centre Ltd.,202303,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
7596,236777,Crescent Medical Centre Ltd.,202203,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
7597,285817,Crescent Power Ltd.,202403,164.41,,3.24,,,,,,14.87,40.37,,1.71,,5.96,,,,,,,,,,,,,,,,,,,,,,,
7598,285817,Crescent Power Ltd.,202303,0.00,,0.00,,,,,,15.64,48.98,,1.55,,4.24,,,,,,,,,,,,,,,,,,,,,,,
7599,285817,Crescent Power Ltd.,202203,85.46,,7.93,,,,,,14.87,36.54,,1.47,,2.04,,,,,,,,,,,,,,,,,,,,,,,
7600,112379,Cressanda Railway Solutions Ltd.,202403,,,,,,,,,,,,1.53,,0.09,,,,,,,,,,,,,,,,,,,,,,,
7601,112379,Cressanda Railway Solutions Ltd.,202303,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,
7602,228872,Crest Fincap Advisors Pvt Ltd.,202203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7603,252285,Crest Finserv Ltd.,202403,,,,0.05,,,,,,,,1.70,,0.84,,,,,,,,,,,,,,,,,,,,,,,
7604,252285,Crest Finserv Ltd.,202303,,,,0.36,,,,,,,,1.13,,0.94,,,,,,,,,,,,,,,,,,,,,,,
7605,252285,Crest Finserv Ltd.,202203,,,,,,,,,,,,1.14,,0.90,,,,,,,,,,,,,,,,,,,,,,,
7606,290943,Crest Precision Screws Pvt Ltd.,202303,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,
7607,290943,Crest Precision Screws Pvt Ltd.,202203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7608,111413,Crest Ventures Ltd.,202403,5.47,,,29.82,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,
